candidate,target,dataset_source,category,clean_caption,partition
B000OT9CO2,B00EHAS05G,FashionIQ,toptee,has yellow butterfly logo on it and has yellow graphic image,train
B00DF23M8C,B00EEAP0T8,FashionIQ,toptee,has no sleeves and has a sexy bow and it is animal print and had no sleeve,train
B0074BJHG6,B0075GVMH2,FashionIQ,toptee,is less revealing and multi colored and two toned blue and pink longer waiste less revealing,train
B007678ZVG,B00CTITZ5M,FashionIQ,toptee,and has a grpahic and has longer sleeves and is cream,train
B0047PASFG,B006T438A0,FashionIQ,toptee,is a lighter shade of blue with a large white car and has larger image and is grayer,train
B007IRMTUC,B009T57AUK,FashionIQ,toptee,is darker colored and has longer sleeves and is black with long sleeves,train
B00BY3K5H0,B008AU6X62,FashionIQ,toptee,is satil and more elegant and longer sleeves solid shiny blue,train
B00DC99584,B0060ODA3O,FashionIQ,toptee,is a belt and is a batman belt,train
B009YJEHN4,B006GHBOMY,FashionIQ,toptee,is lighter and is mix colors and has larger v neck,train
B008CG0PX6,B00AZL8D7G,FashionIQ,toptee,is darker blue with a louder pattern and is a full button up without the frills and a neon pattern print,train
B00B5A7SHW,B00CN5LOLO,FashionIQ,toptee,is blue without stripes and is blue and doesn t have stripes,train
B0089K2RMW,B004WI8BEI,FashionIQ,toptee,dark colored and has short sleeves and doesn t have ruffles,train
B005NY6PLQ,B005NY6KKW,FashionIQ,toptee,is red with black trim and loger sleeves and is darker,train
B008H38JM8,B002LBND9Q,FashionIQ,toptee,is darker and more formal and is dark colored,train
B008CPLUPE,B008R4XVZW,FashionIQ,toptee,has sleeves and less colorful and is darker,train
B002N34B20,B003T4V2Q0,FashionIQ,toptee,is white and less scary and is white with green image,train
B008C01WNO,B004Z2OF14,FashionIQ,toptee,the tank top is green in color with lace fringe and grey baby doll shirt,train
B00BOZ96NC,B006O60QE4,FashionIQ,toptee,is more revealing with more art and is a black shirt with a pink design,train
B008QJ6SVW,B008N6I9NI,FashionIQ,toptee,is blue with a scoop neck and is blue,train
B009EZNB0S,B0096CEED2,FashionIQ,toptee,the shirt is black with yellow and white writing and is black with white text on it,train
B009YMKZUK,B00B77PAT6,FashionIQ,toptee,is brown with small designs and has brown patterns and long sleeves,train
B00DQCVPGW,B00DIGRMHC,FashionIQ,toptee,is more whimsical and is sleeveless and black,train
B00BSHJKGE,B00B8P4WKK,FashionIQ,toptee,white and black in color and is a black and gold mix,train
B009OOAYJU,B00C7Z5WGI,FashionIQ,toptee,is lighter and has shorter sleeves and is blue with shorter sleeves,train
B00EK0FYHA,B00EJZY5EY,FashionIQ,toptee,the shirt is red tie dye and has the addition of red to the print,train
B007FH4UOI,B007WADMD8,FashionIQ,toptee,has a longer sleeve with red color and is red with peek a book sleeves,train
B00BF72LP4,B0027REA96,FashionIQ,toptee,is tighter and is form fitting with shorter sleeves,train
B00C6ANJ4G,B007EUXDP8,FashionIQ,toptee,the shirt is sleeveless and dark gray and is sleeveless and has small logo,train
B00BC04Q4S,B007L3WSZ4,FashionIQ,toptee,is pink with tiered ruffles and is less colourfull,train
B009R72WLC,B004IPUK12,FashionIQ,toptee,the shirt is black with yellow character smoking and has longer sleeves,train
B00EYIEGX6,B00CRP9AIO,FashionIQ,toptee,the tank top is white with green stripes and has green and white stripes,train
B006YYNYM2,B007E3777U,FashionIQ,toptee,the green shirt has a shamrock and is a green irish firefighter t shirt,train
B007XD5M96,B00A8WMLDE,FashionIQ,toptee,is more flowing and loose and is more maternity and has short sleeves,train
B00EA1M6UC,B00AZO3MRO,FashionIQ,toptee,has a color with darker pink stripes and has a collar,train
B0036MPETQ,B00A13FKLU,FashionIQ,toptee,is a darker blue and is dark blue,train
B009EETXPQ,B000VTBEBY,FashionIQ,toptee,is black with red designs and is more boxy and black,train
B005KHYWEI,B004GTMPMM,FashionIQ,toptee,is black with a round neck and button up collar,train
B00EPLXSAO,B002GOSQBS,FashionIQ,toptee,is short sleeved and only,train
B005LXFXIA,B005IT8OBA,FashionIQ,toptee,off white tshirt black lolo and is tan with a black logo and longer sleeves,train
B006GZJUEU,B00CXKNGME,FashionIQ,toptee,has more colors and red and long sleeved,train
B009QUC7EC,B009J1E2AK,FashionIQ,toptee,the shirt is black with the dogfather and is black,train
B00AF2OMMK,B009LEFXK8,FashionIQ,toptee,has more of an uneven neckline and with longer sleeves,train
B005WXZJEW,B004V2NA0U,FashionIQ,toptee,is sleeveless black and white zebra print and is sleeveless and zebra print,train
B008OZSFD2,B006N04SXQ,FashionIQ,toptee,has longer sleeves with buttons and no print and is dark pink with longer sleeves,train
B009T9SIYS,B004R1RJTS,FashionIQ,toptee,is more solid and less childish and is coral v neck color,train
B005FJUKMO,B00GI3JR6Q,FashionIQ,toptee,is lighter with longer sleeves and a pattern and is less shirty and more frilly,train
B007Y5K6QM,B000JTCQQ8,FashionIQ,toptee,is black and white and has a small graphic design,train
B00C83MYM4,B003ZUXY6E,FashionIQ,toptee,the shirt is loose and black in color and is in darker coloring and a little shorter,train
B001GPRCWW,B0007P5JZY,FashionIQ,toptee,is white colored and is white with red text,train
B0043G1JMA,B004YD0QE4,FashionIQ,toptee,is a black shirt with harley davidson and is a tighter fit with a different graphic,train
B00FGXW0FY,B0095SQB9C,FashionIQ,toptee,has longer sleeves and is transparent and has buttons and is long sleeved,train
B00BCQ0RZ4,B007C3NXY8,FashionIQ,toptee,the loose fitting tank top is blue in color and is several shades of blue only,train
B001OI3G6W,B007PUFZIK,FashionIQ,toptee,has a pattern and has a looser fit and is yellow and black with shorter sleeves,train
B000QUZSXS,B000IIQRA6,FashionIQ,toptee,is brighter colored with long sleeves and it is transparent and has long sleeves,train
B00C3N771C,B00AJ3N33E,FashionIQ,toptee,v neck with longer sleeves and longer sleeves reder less revealing,train
B006WITMVW,B0062WL55E,FashionIQ,toptee,is sleeveless and has no sleeves,train
B0086JXCRA,B002Y72PXW,FashionIQ,toptee,is black in color and is a sheer white with pattern and scoop neck,train
B00D7IRDF2,B00BWUWG5O,FashionIQ,toptee,is darker and has longer sleeves and is tan with longer sleeves,train
B00AANHWGC,B006WZ5RCI,FashionIQ,toptee,hot pink open back open sleeves and is brighter and more complex,train
B001V4UMRA,B004ZLBFDG,FashionIQ,toptee,has a bright pattern and is more frilly and has shorter sleeve and is pink color,train
B00BQR7H2A,B008D903ZM,FashionIQ,toptee,i would like just a little longer sleeve with a more variety of colors in it and has a peacock print,train
B00A3Y9KYA,B00BR40SQY,FashionIQ,toptee,is flowier and pink and is light colored and light material,train
B008X3B44W,B00CMFH2Z2,FashionIQ,toptee,is mint green with buttons down and is white with no sleeves,train
B003XT4ZZQ,B00CAAMNEY,FashionIQ,toptee,is black with a more whimsical pattern and with a different graphic,train
B00CQ23XEU,B00CB20U5A,FashionIQ,toptee,is flowy with no sleeves and is more green and sleeveless,train
B009H3SURG,B006Q6DZA4,FashionIQ,toptee,is sleeveless and and sexier and is pink,train
B005CT2AFW,B004QGY4YW,FashionIQ,toptee,is more flared and has deeper neckline and has loose neckline and loose bottom and a tiger pattern,train
B00CRBXPQ6,B002HREUDM,FashionIQ,toptee,is black with a higher neck and is darker and has sleeves,train
B00AFVHF34,B008P8MVJC,FashionIQ,toptee,is looser fitting and solid black fitted blouse with half sleeves,train
B0014UJCAY,B00C2TL71S,FashionIQ,toptee,the vest is made from blue jean and is jean button up jacket,train
B00DLAGM3U,B00ENOEKOG,FashionIQ,toptee,is brighter colored and is pink with button,train
B00CE5YX4S,B00C5SE768,FashionIQ,toptee,is ambika jurk panter and has short sleeves and has more designs and longer sleeves,train
B000GZ6WOM,B0036SFSJ6,FashionIQ,toptee,is blue with animated characters and blue slim fitted large graphic shirt,train
B00AJOIDF6,B0049H3EYE,FashionIQ,toptee,has black stripes and is white and desired item is black and white with dressier neckline,train
B004J26V3K,B00847DG8Y,FashionIQ,toptee,is white colored and has shorter sleeves and has no hood and a lighter color,train
B009DZO8O2,B007ZK38YS,FashionIQ,toptee,is lighter and is brighter in color,train
B00CS8OV4S,B00A03RCO4,FashionIQ,toptee,is black and white printed and is lighter in color,train
B00A14JGUU,B00A14JLKA,FashionIQ,toptee,has a brighter color and is black without sleeves and less flowery print,train
B00629MAQK,B00FBBCJCK,FashionIQ,toptee,is pink with round neck and is a pink woman s tee,train
B00B0QD5DW,B007WA3VNE,FashionIQ,toptee,is darker and more revealing and is more revealing,train
B003IG9S8S,B006UKX8CG,FashionIQ,toptee,has a black color with big art and black more masculant logo,train
B00AWFUOT0,B00AN5V1V4,FashionIQ,toptee,has longer sleeves and is beige and is beige colored with long sleeves and tighter neckline,train
B002RKYWLE,B002QJ5SK0,FashionIQ,toptee,has a darker color with text and has words and no animals,train
B0065K5IZG,B00AQJPAHS,FashionIQ,toptee,has longer sleeves and dark green colored and has longer sleeves and is darker,train
B003MENJE0,B003O1NRDE,FashionIQ,toptee,is darker with a less colorful logo and is lighter and more revealing,train
B0062SKZYU,B009CX2K90,FashionIQ,toptee,has longer sleeves and is maroon and white and has whiter colors longer sleeves,train
B00CIBNVEG,B007NKYM5E,FashionIQ,toptee,is more flowing and less colorful and deep green,train
B008MC23F8,B008MC2TQQ,FashionIQ,toptee,has no sleeves and skulls and is darker in color,train
B008WYCZE0,B004O5FCMS,FashionIQ,toptee,is darker in color with a button down front and has buttons and longer sleeves and is blue,train
B004I8VCC0,B000Y9ODA0,FashionIQ,toptee,is a shiny green with long sleeves and is long sleeved and satin green,train
B00405SSHI,B00979NALG,FashionIQ,toptee,is lighter and has shorter sleeves and is orange colored and sleeveless,train
B00C3VIHBS,B008GS78G2,FashionIQ,toptee,is a button up and is more of a button up,train
B00DYT84BG,B002LOGFO8,FashionIQ,toptee,is black with different graphics and black more sexy cat logo,train
B000VVP1XO,B00D1G7MGU,FashionIQ,toptee,is grey colored and has longer sleeves and has long sleeves and sequined shoulders,train
B005KKDHGY,B00EPC3J3E,FashionIQ,toptee,is darker and is green in color,train
B00C7CTGH2,B00C7CTF4Q,FashionIQ,toptee,is pink in color and is pink with longer sleeves,train
B00COE69Y6,B005LREG66,FashionIQ,toptee,is lighter and has dark gray sleeves,train
B00CXU758U,B00DCKUF3M,FashionIQ,toptee,is a white long blouse and is lighter and has a gradient,train
B008Y9ZWAC,B00AONTR8O,FashionIQ,toptee,is darker and has colorful stripes,train
B004LXO68Y,B004I784E0,FashionIQ,toptee,is light gray with turquose logos and has longer sleeves,train
B0094G02TU,B0080E5CTW,FashionIQ,toptee,is white with green designs and is short sleeve and green,train
B007HXMQXM,B008MLZ5YK,FashionIQ,toptee,the shirt is black and white with a skull and banded straight hem,train
B004SWJ75A,B004HO6MIE,FashionIQ,toptee,is purple and have bigger checkered pattern and is a darker color and a plaid pattern,train
B00B2JITDI,B007ZMVT56,FashionIQ,toptee,is dark colored and is blue colored knit design,train
B00EVVI03S,B00EQ1ZTD2,FashionIQ,toptee,is white and has short sleeves and has longer sleeves and is white,train
B002804SIK,B00B7ETV3U,FashionIQ,toptee,is long sleeves and shiny red and has longer sleeves,train
B0051VJWWU,B00387ZY2G,FashionIQ,toptee,is dark green and is more colourfull,train
B0075PMBM8,B00FPKREX6,FashionIQ,toptee,is lighter colored and less bulky and is a sleeveless,train
B004BW63JU,B00AX354UA,FashionIQ,toptee,is white with colorful flowers and is white with colorful patterns,train
B0086UZZ88,B007F7P58I,FashionIQ,toptee,is red with longer sleeves and has longer sleeves,train
B000OBO5O2,B000PZOFRY,FashionIQ,toptee,the shirt has capped sleeves and white in color and has longer sleeves and is white,train
B00BUI9OSK,B00EM5ZHO8,FashionIQ,toptee,has no sleeves with two different colors and is less revealing and plus size,train
B008BJWYN8,B008NDW6NK,FashionIQ,toptee,has two cats on it and has less pink color and more cats,train
B005FPBOYQ,B004TS1TZE,FashionIQ,toptee,is pink colored and has sleeves and silver,train
B000TIND7K,B00C26XI5Y,FashionIQ,toptee,is more conservative and is white and has three men on it,train
B00A6GPX9Q,B007WADQUC,FashionIQ,toptee,is darker and has longer sleeves and is off the shoulder with long sleeves,train
B0098813OC,B009YKBWDQ,FashionIQ,toptee,has shorter sleeves and is lighter blue and a grey white short sleeved striped shirt,train
B00A13GEEW,B00BDTVG14,FashionIQ,toptee,is a long sleeve beige shirt and is brown with shortr sleeves,train
B00C64LE8A,B005J6AROY,FashionIQ,toptee,it is a darker color with a print and has thinner straps and more color,train
B0052IGQK8,B008N6XX8E,FashionIQ,toptee,the shirt is red and gray in color and has long sleeve and is grey color,train
B0046R0BDE,B009D96T2C,FashionIQ,toptee,is more solid colored with small graphic and is almost solid blue with a small flag design,train
B009YJEHN4,B008CIS2G6,FashionIQ,toptee,is lighter and is lighter,train
B0051GLDKO,B00BGVUVJW,FashionIQ,toptee,is pink with black designs and is pink and v necked,train
B008ZYXSEI,B008X02N7C,FashionIQ,toptee,left sleeves are a different style looser and is less fitted and black,train
B005OPSHN8,B004L6XRF4,FashionIQ,toptee,has a longer sleeve with text and has white text and nothing else,train
B00E0KYN86,B00EEKLQFK,FashionIQ,toptee,is more fitted and darker in color and is long sleeved and a darker pattern,train
B004RUF8F6,B0057OO190,FashionIQ,toptee,has a v shaped neckline and has shorter sleeves and is more upscale,train
B004P5PT7A,B009FEMJL0,FashionIQ,toptee,is much looser and has higher neckline and is more blousy,train
B00CII53G8,B00CB7TONO,FashionIQ,toptee,has a darker color and a print and is lighter,train
B00BOFWRME,B000GUU18K,FashionIQ,toptee,has longer sleeves and is pink without strips and is a dark pink color,train
B00C9WDZIG,B005HWQDD4,FashionIQ,toptee,is blue colored checkered shirt and has more blue,train
B007N419Z6,B009HMRHLM,FashionIQ,toptee,has no sleeves but darker color and is a darker color with no sleeves,train
B000JR8TK2,B006PATDDY,FashionIQ,toptee,the shirt is loose fitting and brown in color and has more designs and no text,train
B008TARO0W,B00CBQRXB0,FashionIQ,toptee,is lighter and blue shorter sleeves,train
B00A8WISNQ,B008SOQF6I,FashionIQ,toptee,is darker and it is lacy and black,train
B002U2QKAK,B005T4B6QY,FashionIQ,toptee,is darker colored with an image and is black and has a picture,train
B00ASIGQOI,B008HPO736,FashionIQ,toptee,is darker and has matching buttons and is a black tee with collar,train
B000CEM9TY,B00C7BQSGK,FashionIQ,toptee,is black colored and is black with v neck and shorter sleeves,train
B009MEN4P8,B001L2SFB2,FashionIQ,toptee,is more monochromatic vintage looking and is dark pink and has deep print,train
B009YMKZUK,B009PARNXI,FashionIQ,toptee,has stripes and has longer sleeves and has horizontal strips,train
B0087CHLN2,B008OR0QJ6,FashionIQ,toptee,has longer sleeves and black buttons and is white with long sleeves,train
B005BY1A9A,B007U6721W,FashionIQ,toptee,is white and has a deer on it and is white with brown image,train
B00EA31N5E,B00DPZ31K8,FashionIQ,toptee,is blue in color and is darker blue,train
B000UZCE2M,B001PTGKOU,FashionIQ,toptee,is white colored and sleeveless and is white and sleeveless,train
B00FFL967C,B008B0N8RS,FashionIQ,toptee,has shorter and has a white color and shorter sleeves,train
B008G51I0W,B00AW83K2U,FashionIQ,toptee,is a zebra print blouse with a scoop neck collar and is more casual,train
B005FAOHDQ,B0006NX6LG,FashionIQ,toptee,is red and more revealing and is mor revealing,train
B004DUM9EI,B00AFRVSAO,FashionIQ,toptee,has short sleeves and stripes and is short sleeved with stripes,train
B00AYZFOZC,B008UU2GJK,FashionIQ,toptee,is darker and is black with white picture,train
B0009GAVY0,B004R1NO9W,FashionIQ,toptee,is peach color with tiny shoulder straps and is darker,train
B00CC2PTNM,B00FVQ41RQ,FashionIQ,toptee,is darker and has a rounded collar,train
B0078YCJP0,B004J3481G,FashionIQ,toptee,has lacy overlay and is darker colored and is darker in color,train
B008GSXO4W,B008M1R66K,FashionIQ,toptee,the dress is black in color with no sleeves and is black dress with sleeves,train
B00CE1B06Q,B004KARV9E,FashionIQ,toptee,is lacier and is more lacy,train
B008BJSLYY,B00DCZSJHQ,FashionIQ,toptee,is lighter colors of the ocean and white with poodle picture,train
B00EL6U4UA,B00HCAW1UI,FashionIQ,toptee,is multicolored and simple and is white with multicolored sleeves,train
B00AFOLKBY,B008SCMA5K,FashionIQ,toptee,is beige with bunnies and is a cream sweatshirt with cartoon design,train
B0074Z8RYK,B002W5UMFY,FashionIQ,toptee,is black with pink floral designs and stretch v neck in brown floral with no buttons,train
B00AC2KL0U,B0052F4ZBI,FashionIQ,toptee,the shirt is white with red picturing and is lighter,train
B006WQWFQ8,B002QSKISS,FashionIQ,toptee,has shorter sleeves and is more vintage and is darker colored with a character,train
B00A8ZDVIA,B00CUVVK9C,FashionIQ,toptee,is more revealing and darker color and is black and sleeveless,train
B006MGRJA0,B005DA3ZB8,FashionIQ,toptee,it is a white blouse with solid color and white 3 4 sleeve button up round neck,train
B00DCUQA7M,B0046IDWUC,FashionIQ,toptee,is more preppy and less cartoonish and is light blue with no graphic,train
B005HPTTQE,B00GPQDJI8,FashionIQ,toptee,is red and is red and has buttons,train
B003CO205E,B001LNGCMA,FashionIQ,toptee,is white colored and is bright white colo,train
B0094R0MTE,B0088D23WY,FashionIQ,toptee,the shirt is white with black polka dots and has sleeves with a polka dot pattern,train
B001EPO91Q,B001VSQI8S,FashionIQ,toptee,is shorter and is blue and is blue with white image,train
B007IIY6MU,B0041SNY0U,FashionIQ,toptee,is more revealing and has straps and is darker with spaghetti straps,train
B00AHXE44S,B000TIND7K,FashionIQ,toptee,is has less writing and is lighter in color and is more colorful,train
B00C7FA6Z0,B00D3RJ5LW,FashionIQ,toptee,is sleeveless and is a black and white striped tank top,train
B00F3KMWX0,B00C2ETAO4,FashionIQ,toptee,is darker in color and is a dark black shade,train
B00CYP6MPG,B00EW1H6EG,FashionIQ,toptee,is long sleeves with a different design and is shoet and white,train
B003YH33BY,B004JJVF48,FashionIQ,toptee,is more graphic and less grungy and is red and short sleeved,train
B00E3GLH7C,B00D83YUJI,FashionIQ,toptee,has a longer sleeve with two stripes and is orange and white,train
B00EE0BSTE,B007WAEMB4,FashionIQ,toptee,is much longer and lighter in color and is white and has a black graphic,train
B009AX381G,B00BJXLGPU,FashionIQ,toptee,is lighter and is sleeveless and button up front,train
B00E9I3AYM,B00ESMW0H2,FashionIQ,toptee,is beige colored and plain pattern and is more pink and doesn t have a pattern,train
B003VZMN10,B00GSVCU6W,FashionIQ,toptee,is lighter and is lighter,train
B00BQTQBVG,B00BEDJYZO,FashionIQ,toptee,is blue with long sleeves and it has a long sleeve and collar,train
B007C3NZX2,B007P1M4UG,FashionIQ,toptee,has more coverage and is baggier and has more brown and longer sleeves,train
B002ZNKQYA,B0043O907S,FashionIQ,toptee,whit short sleeves button up and is white with collar,train
B00BJEP9PW,B00D8WN4P0,FashionIQ,toptee,is a blue and white stripped button down shirt with collar and has more stripes,train
B009WV96P8,B004L6ZSVU,FashionIQ,toptee,has shorter sleeves and less revealing and has sleeves and bigger logo,train
B008CHF5QM,B009YKBO84,FashionIQ,toptee,is a long sleeve multiple purple tier striped color shirt and is more purple,train
B007WATA0W,B00F5BJB36,FashionIQ,toptee,the shirt is black with leopard print pockets and button up,train
B00CZDU0AA,B001B11HGI,FashionIQ,toptee,is a no sleeve black tank top and is black and has wider straps,train
B00AWEP0OU,B00AIBEDEA,FashionIQ,toptee,has a longer sleeve and a darker color and is darker in color,train
B00ESJKTEQ,B001FZX7YU,FashionIQ,toptee,is tighter and more plain and with heart graphic,train
B00139HZIC,B002KG6BDW,FashionIQ,toptee,is off white and is white,train
B007E8II6O,B003AM7V20,FashionIQ,toptee,is shinier and is shinier and sleeveless,train
B00CLY2MPY,B008GV0Y9W,FashionIQ,toptee,has a collar and is lighter in color and is more solid green colored,train
B004NE469K,B007VFI45A,FashionIQ,toptee,sleeveless shirt and is less wordy,train
B00B11ZSHM,B00CHRDNDK,FashionIQ,toptee,is longer with one shoulder and stripes and is darker and has shorter sleeves,train
B006YJQF5U,B00BXZJEM6,FashionIQ,toptee,has no sleeves and only light blue color and is lighter and less patterned,train
B0085TX8J8,B00BBT7X3G,FashionIQ,toptee,has no sleeves and is light blue and is light blue and sleeveless,train
B00ASIGQOI,B005HNN85Y,FashionIQ,toptee,is shinier and is lighter blue and sleeveless,train
B007970YI0,B0077UO9PS,FashionIQ,toptee,is black with wolves and has a darker color,train
B008SAWXUE,B001UF2BEC,FashionIQ,toptee,is lighter and is white and more casual,train
B00359GA6G,B0036TG92U,FashionIQ,toptee,is beige colored and has longer sleeves and is less athletic and more casual,train
B006Q8OHGS,B008OGV4JS,FashionIQ,toptee,is darker and has longer sleeves and bolder colors and longer sleeves,train
B00ESQLNQM,B00FIX9Y2O,FashionIQ,toptee,is shiny black and is shorter sleeves with a collar,train
B005HS55Z0,B007HII4XS,FashionIQ,toptee,the crop top is black in color and is long sleeved black color,train
B009XMIJWM,B009F2DNJY,FashionIQ,toptee,has an image of mickey mouse in black and white and is black and white with short sleeves,train
B003981996,B003LJYM8S,FashionIQ,toptee,is darker in color and is darker and has shorter sleeves,train
B00DDWYLXE,B00DSODA0M,FashionIQ,toptee,is white with green designs and is grey and has green logo,train
B00AU2FFJ4,B007C5XCQA,FashionIQ,toptee,is a bag and carries things around and is not worn on the torso,train
B00318CS30,B004GJWBVW,FashionIQ,toptee,is more sexy and shorter and is grey with sleeves,train
B00CSLE77G,B00DTIMHLA,FashionIQ,toptee,is tighter and more colorful and solid green shirt with black letters on it,train
B00580KVJM,B00CLW9E5W,FashionIQ,toptee,has a larger graphic and has no text,train
B002N2XYKG,B005N4IIEI,FashionIQ,toptee,had shorter sleeves and is grey and has looser necklines,train
B00DS0NOP2,B00CLMABVI,FashionIQ,toptee,the shirt is red with white stripes and with a different graphic,train
B004JUL6X2,B00DRKKEHY,FashionIQ,toptee,is more colorful and less woven and is a regular t shirt with graphic,train
B00CSKAMOY,B008S0EPEG,FashionIQ,toptee,is lighter in color and short sleeves and has no sleeves and is very pale green,train
B002LARXMU,B005GTEEBG,FashionIQ,toptee,has a v shaped neck with short sleeves and has a low v neck and sleeves,train
B00EZSFBW0,B009IXWPSU,FashionIQ,toptee,has a horsw and is blue with image,train
B003V3N1HC,B004THHYI6,FashionIQ,toptee,is lighter and has longer sleeves and has sleeves and graphic,train
B00CLZ0PUW,B00CDXSQM6,FashionIQ,toptee,is light green colored and shorter sleeves and has a smaller floral pattern with no lace,train
B00B90D0DO,B00AZ7Y1IA,FashionIQ,toptee,the shirt has no sleeves and in bright blue in color and is blue with no sleeves,train
B00D6CQQXE,B001SYRSDE,FashionIQ,toptee,is more colorful and sexier and is form fitting and solid red,train
B009Q4R6MQ,B00CF2X1BG,FashionIQ,toptee,strappy multi color turquoise base and no sleeves and lighter colored,train
B008BF8MGU,B000EOP9O4,FashionIQ,toptee,is more masculine and is lighter and more colorful,train
B003BNYHCK,B003U6ICF6,FashionIQ,toptee,is darker with less intricate sleeves and solid dark blue blouse,train
