vec_row,image_id,item_id,split,view,gender,product_type,category,row_in_captions,caption,clean_caption,text_only_input,fashion_clip_prompt
17,MEN-Denim-id_00000182-01_7_additional,id_00000182,query,additional,MEN,Denim,MEN_Denim,17,This guy is wearing a short-sleeve T-shirt with pure color patterns. The T-shirt is with cotton fabric and its neckline is v-shape. The pants this guy wears is of long length. The pants are with cotton fabric and solid color patterns.,this guy is wearing a short sleeve t shirt with pure color patterns the t shirt is with cotton fabric and its neckline is v shape the pants this guy wears is of long length the pants are with cotton fabric and solid color patterns,this guy is wearing a short sleeve t shirt with pure color patterns the t shirt is with cotton fabric and its neckline is v shape the pants this guy wears is of long length the pants are with cotton fabric and solid color patterns,"a photo of a men denim, this guy is wearing a short sleeve t shirt with pure color patterns the t shirt is with cotton fabric and its neckline is v shape the pants this guy wears is of long length the pants are with cotton fabric and solid color patterns"
18,MEN-Denim-id_00000265-01_2_side,id_00000265,gallery,side,MEN,Denim,MEN_Denim,18,"His T-shirt has short sleeves, cotton fabric and pure color patterns. It has a round neckline. The shorts the guy wears is of medium length. The shorts are with cotton fabric and solid color patterns. The gentleman has a hat in his head.",his t shirt has short sleeves cotton fabric and pure color patterns it has a round neckline the shorts the guy wears is of medium length the shorts are with cotton fabric and solid color patterns the gentleman has a hat in his head,his t shirt has short sleeves cotton fabric and pure color patterns it has a round neckline the shorts the guy wears is of medium length the shorts are with cotton fabric and solid color patterns the gentleman has a hat in his head,"a photo of a men denim, his t shirt has short sleeves cotton fabric and pure color patterns it has a round neckline the shorts the guy wears is of medium length the shorts are with cotton fabric and solid color patterns the gentleman has a hat in his head"
19,MEN-Denim-id_00000313-01_1_front,id_00000313,gallery,front,MEN,Denim,MEN_Denim,19,The gentleman is wearing a short-sleeve T-shirt with lattice patterns. The T-shirt is with cotton fabric. It has a lapel neckline. The gentleman wears a long pants. The pants are with denim fabric and pure color patterns.,the gentleman is wearing a short sleeve t shirt with lattice patterns the t shirt is with cotton fabric it has a lapel neckline the gentleman wears a long pants the pants are with denim fabric and pure color patterns,the gentleman is wearing a short sleeve t shirt with lattice patterns the t shirt is with cotton fabric it has a lapel neckline the gentleman wears a long pants the pants are with denim fabric and pure color patterns,"a photo of a men denim, the gentleman is wearing a short sleeve t shirt with lattice patterns the t shirt is with cotton fabric it has a lapel neckline the gentleman wears a long pants the pants are with denim fabric and pure color patterns"
20,MEN-Denim-id_00000353-01_7_additional,id_00000353,gallery,additional,MEN,Denim,MEN_Denim,20,The gentleman is wearing a long-sleeve shirt with solid color patterns and a long trousers. The shirt is with cotton fabric. The neckline of the shirt is round. The trousers are with denim fabric and solid color patterns. The outer clothing this guy wears is with cotton fabric and solid color patterns. There is a hat in his head.,the gentleman is wearing a long sleeve shirt with solid color patterns and a long trousers the shirt is with cotton fabric the neckline of the shirt is round the trousers are with denim fabric and solid color patterns the outer clothing this guy wears is with cotton fabric and solid color patterns there is a hat in his head,the gentleman is wearing a long sleeve shirt with solid color patterns and a long trousers the shirt is with cotton fabric the neckline of the shirt is round the trousers are with denim fabric and solid color patterns the outer clothing this guy wears is with cotton fabric and solid color patterns there is a hat in his head,"a photo of a men denim, the gentleman is wearing a long sleeve shirt with solid color patterns and a long trousers the shirt is with cotton fabric the neckline of the shirt is round the trousers are with denim fabric and solid color patterns the outer clothing this guy wears is with cotton fabric and solid color patterns there is a hat in his head"
21,MEN-Denim-id_00000353-02_7_additional,id_00000353,query,additional,MEN,Denim,MEN_Denim,21,"His shirt has long sleeves, cotton fabric and pure color patterns. It has a lapel neckline. The trousers the gentleman wears is of long length. The trousers are with denim fabric and plaid patterns. The gentleman also wears an outer clothing, with denim fabric and pure color patterns. There is clothing on his waist.",his shirt has long sleeves cotton fabric and pure color patterns it has a lapel neckline the trousers the gentleman wears is of long length the trousers are with denim fabric and plaid patterns the gentleman also wears an outer clothing with denim fabric and pure color patterns there is clothing on his waist,his shirt has long sleeves cotton fabric and pure color patterns it has a lapel neckline the trousers the gentleman wears is of long length the trousers are with denim fabric and plaid patterns the gentleman also wears an outer clothing with denim fabric and pure color patterns there is clothing on his waist,"a photo of a men denim, his shirt has long sleeves cotton fabric and pure color patterns it has a lapel neckline the trousers the gentleman wears is of long length the trousers are with denim fabric and plaid patterns the gentleman also wears an outer clothing with denim fabric and pure color patterns there is clothing on his waist"
22,MEN-Denim-id_00000516-01_1_front,id_00000516,train,front,MEN,Denim,MEN_Denim,22,The person wears a sleeveless tank shirt with solid color patterns and long pants. The tank shirt is with cotton fabric and it has a round neckline. The pants are with denim fabric and pure color patterns.,the person wears a sleeveless tank shirt with solid color patterns and long pants the tank shirt is with cotton fabric and it has a round neckline the pants are with denim fabric and pure color patterns,the person wears a sleeveless tank shirt with solid color patterns and long pants the tank shirt is with cotton fabric and it has a round neckline the pants are with denim fabric and pure color patterns,"a photo of a men denim, the person wears a sleeveless tank shirt with solid color patterns and long pants the tank shirt is with cotton fabric and it has a round neckline the pants are with denim fabric and pure color patterns"
23,MEN-Denim-id_00000565-01_7_additional,id_00000565,train,additional,MEN,Denim,MEN_Denim,23,"His shirt has long sleeves, cotton fabric and plaid patterns. It has a lapel neckline. The guy wears a long trousers. The trousers are with denim fabric and lattice patterns. There is a hat in his head.",his shirt has long sleeves cotton fabric and plaid patterns it has a lapel neckline the guy wears a long trousers the trousers are with denim fabric and lattice patterns there is a hat in his head,his shirt has long sleeves cotton fabric and plaid patterns it has a lapel neckline the guy wears a long trousers the trousers are with denim fabric and lattice patterns there is a hat in his head,"a photo of a men denim, his shirt has long sleeves cotton fabric and plaid patterns it has a lapel neckline the guy wears a long trousers the trousers are with denim fabric and lattice patterns there is a hat in his head"
24,MEN-Denim-id_00000750-01_1_front,id_00000750,train,front,MEN,Denim,MEN_Denim,24,"His sweater has long sleeves, cotton fabric and solid color patterns. The neckline of it is round. This gentleman wears a long trousers. The trousers are with denim fabric and lattice patterns. The outer clothing this man wears is with cotton fabric and pure color patterns.",his sweater has long sleeves cotton fabric and solid color patterns the neckline of it is round this gentleman wears a long trousers the trousers are with denim fabric and lattice patterns the outer clothing this man wears is with cotton fabric and pure color patterns,his sweater has long sleeves cotton fabric and solid color patterns the neckline of it is round this gentleman wears a long trousers the trousers are with denim fabric and lattice patterns the outer clothing this man wears is with cotton fabric and pure color patterns,"a photo of a men denim, his sweater has long sleeves cotton fabric and solid color patterns the neckline of it is round this gentleman wears a long trousers the trousers are with denim fabric and lattice patterns the outer clothing this man wears is with cotton fabric and pure color patterns"
25,MEN-Denim-id_00000826-01_1_front,id_00000826,gallery,front,MEN,Denim,MEN_Denim,25,"The T-shirt this gentleman wears has short sleeves and its fabric is cotton. The pattern of it is solid color. It has a v-shape neckline. This gentleman wears a long trousers, with cotton fabric and solid color patterns.",the t shirt this gentleman wears has short sleeves and its fabric is cotton the pattern of it is solid color it has a v shape neckline this gentleman wears a long trousers with cotton fabric and solid color patterns,the t shirt this gentleman wears has short sleeves and its fabric is cotton the pattern of it is solid color it has a v shape neckline this gentleman wears a long trousers with cotton fabric and solid color patterns,"a photo of a men denim, the t shirt this gentleman wears has short sleeves and its fabric is cotton the pattern of it is solid color it has a v shape neckline this gentleman wears a long trousers with cotton fabric and solid color patterns"
26,MEN-Denim-id_00000826-02_7_additional,id_00000826,gallery,additional,MEN,Denim,MEN_Denim,26,"The shirt this guy wears has medium sleeves, its fabric is cotton, and it has solid color patterns. The shirt has a round neckline. This guy wears a long trousers, with cotton fabric and solid color patterns.",the shirt this guy wears has medium sleeves its fabric is cotton and it has solid color patterns the shirt has a round neckline this guy wears a long trousers with cotton fabric and solid color patterns,the shirt this guy wears has medium sleeves its fabric is cotton and it has solid color patterns the shirt has a round neckline this guy wears a long trousers with cotton fabric and solid color patterns,"a photo of a men denim, the shirt this guy wears has medium sleeves its fabric is cotton and it has solid color patterns the shirt has a round neckline this guy wears a long trousers with cotton fabric and solid color patterns"
27,MEN-Denim-id_00000826-03_1_front,id_00000826,gallery,front,MEN,Denim,MEN_Denim,27,"The upper clothing has short sleeves, cotton fabric and solid color patterns. The neckline of it is crew. The lower clothing is of long length. The fabric is denim and it has solid color patterns.",the upper clothing has short sleeves cotton fabric and solid color patterns the neckline of it is crew the lower clothing is of long length the fabric is denim and it has solid color patterns,the upper clothing has short sleeves cotton fabric and solid color patterns the neckline of it is crew the lower clothing is of long length the fabric is denim and it has solid color patterns,"a photo of a men denim, the upper clothing has short sleeves cotton fabric and solid color patterns the neckline of it is crew the lower clothing is of long length the fabric is denim and it has solid color patterns"
28,MEN-Denim-id_00000826-04_7_additional,id_00000826,query,additional,MEN,Denim,MEN_Denim,28,"His tank shirt has sleeves cut off, cotton fabric and solid color patterns. It has a crew neckline. The trousers this person wears is of long length. The trousers are with denim fabric and lattice patterns.",his tank shirt has sleeves cut off cotton fabric and solid color patterns it has a crew neckline the trousers this person wears is of long length the trousers are with denim fabric and lattice patterns,his tank shirt has sleeves cut off cotton fabric and solid color patterns it has a crew neckline the trousers this person wears is of long length the trousers are with denim fabric and lattice patterns,"a photo of a men denim, his tank shirt has sleeves cut off cotton fabric and solid color patterns it has a crew neckline the trousers this person wears is of long length the trousers are with denim fabric and lattice patterns"
29,MEN-Denim-id_00000867-01_1_front,id_00000867,gallery,front,MEN,Denim,MEN_Denim,29,"His T-shirt has short sleeves, cotton fabric and pure color patterns. The neckline of it is round. This man wears a long trousers. The trousers are with denim fabric and complicated patterns.",his t shirt has short sleeves cotton fabric and pure color patterns the neckline of it is round this man wears a long trousers the trousers are with denim fabric and complicated patterns,his t shirt has short sleeves cotton fabric and pure color patterns the neckline of it is round this man wears a long trousers the trousers are with denim fabric and complicated patterns,"a photo of a men denim, his t shirt has short sleeves cotton fabric and pure color patterns the neckline of it is round this man wears a long trousers the trousers are with denim fabric and complicated patterns"
30,MEN-Denim-id_00000938-02_1_front,id_00000938,gallery,front,MEN,Denim,MEN_Denim,30,"His shirt has long sleeves, cotton fabric and striped patterns. The neckline of it is round. The trousers this person wears is of long length. The trousers are with cotton fabric and solid color patterns. The outer clothing is with leather fabric and solid color patterns. There is an accessory on his wrist.",his shirt has long sleeves cotton fabric and striped patterns the neckline of it is round the trousers this person wears is of long length the trousers are with cotton fabric and solid color patterns the outer clothing is with leather fabric and solid color patterns there is an accessory on his wrist,his shirt has long sleeves cotton fabric and striped patterns the neckline of it is round the trousers this person wears is of long length the trousers are with cotton fabric and solid color patterns the outer clothing is with leather fabric and solid color patterns there is an accessory on his wrist,"a photo of a men denim, his shirt has long sleeves cotton fabric and striped patterns the neckline of it is round the trousers this person wears is of long length the trousers are with cotton fabric and solid color patterns the outer clothing is with leather fabric and solid color patterns there is an accessory on his wrist"
31,MEN-Denim-id_00000938-03_7_additional,id_00000938,query,additional,MEN,Denim,MEN_Denim,31,This gentleman is wearing a short-sleeve T-shirt with pure color patterns. The T-shirt is with cotton fabric and its neckline is crew. The trousers this gentleman wears is of long length. The trousers are with cotton fabric and pure color patterns.,this gentleman is wearing a short sleeve t shirt with pure color patterns the t shirt is with cotton fabric and its neckline is crew the trousers this gentleman wears is of long length the trousers are with cotton fabric and pure color patterns,this gentleman is wearing a short sleeve t shirt with pure color patterns the t shirt is with cotton fabric and its neckline is crew the trousers this gentleman wears is of long length the trousers are with cotton fabric and pure color patterns,"a photo of a men denim, this gentleman is wearing a short sleeve t shirt with pure color patterns the t shirt is with cotton fabric and its neckline is crew the trousers this gentleman wears is of long length the trousers are with cotton fabric and pure color patterns"
32,MEN-Denim-id_00000938-05_1_front,id_00000938,gallery,front,MEN,Denim,MEN_Denim,32,The gentleman is wearing a short-sleeve shirt with pure color patterns. The shirt is with denim fabric. It has a lapel neckline. The trousers the gentleman wears is of long length. The trousers are with cotton fabric and plaid patterns.,the gentleman is wearing a short sleeve shirt with pure color patterns the shirt is with denim fabric it has a lapel neckline the trousers the gentleman wears is of long length the trousers are with cotton fabric and plaid patterns,the gentleman is wearing a short sleeve shirt with pure color patterns the shirt is with denim fabric it has a lapel neckline the trousers the gentleman wears is of long length the trousers are with cotton fabric and plaid patterns,"a photo of a men denim, the gentleman is wearing a short sleeve shirt with pure color patterns the shirt is with denim fabric it has a lapel neckline the trousers the gentleman wears is of long length the trousers are with cotton fabric and plaid patterns"
33,MEN-Denim-id_00001198-01_7_additional,id_00001198,query,additional,MEN,Denim,MEN_Denim,33,This person wears a long-sleeve sweater with pure color patterns. The sweater is with cotton fabric. It has a stand neckline. The pants this person wears is of long length. The pants are with cotton fabric and solid color patterns.,this person wears a long sleeve sweater with pure color patterns the sweater is with cotton fabric it has a stand neckline the pants this person wears is of long length the pants are with cotton fabric and solid color patterns,this person wears a long sleeve sweater with pure color patterns the sweater is with cotton fabric it has a stand neckline the pants this person wears is of long length the pants are with cotton fabric and solid color patterns,"a photo of a men denim, this person wears a long sleeve sweater with pure color patterns the sweater is with cotton fabric it has a stand neckline the pants this person wears is of long length the pants are with cotton fabric and solid color patterns"
34,MEN-Denim-id_00001198-02_7_additional,id_00001198,gallery,additional,MEN,Denim,MEN_Denim,34,The gentleman wears a long-sleeve sweater with pure color patterns and long trousers. The sweater is with cotton fabric and it has a stand neckline. The trousers are with cotton fabric and plaid patterns.,the gentleman wears a long sleeve sweater with pure color patterns and long trousers the sweater is with cotton fabric and it has a stand neckline the trousers are with cotton fabric and plaid patterns,the gentleman wears a long sleeve sweater with pure color patterns and long trousers the sweater is with cotton fabric and it has a stand neckline the trousers are with cotton fabric and plaid patterns,"a photo of a men denim, the gentleman wears a long sleeve sweater with pure color patterns and long trousers the sweater is with cotton fabric and it has a stand neckline the trousers are with cotton fabric and plaid patterns"
35,MEN-Denim-id_00001198-03_7_additional,id_00001198,query,additional,MEN,Denim,MEN_Denim,35,"The upper clothing has long sleeves, cotton fabric and pure color patterns. The neckline of it is stand. The lower clothing is of long length. The fabric is cotton and it has solid color patterns.",the upper clothing has long sleeves cotton fabric and pure color patterns the neckline of it is stand the lower clothing is of long length the fabric is cotton and it has solid color patterns,the upper clothing has long sleeves cotton fabric and pure color patterns the neckline of it is stand the lower clothing is of long length the fabric is cotton and it has solid color patterns,"a photo of a men denim, the upper clothing has long sleeves cotton fabric and pure color patterns the neckline of it is stand the lower clothing is of long length the fabric is cotton and it has solid color patterns"
36,MEN-Denim-id_00001198-04_7_additional,id_00001198,query,additional,MEN,Denim,MEN_Denim,36,The guy wears a long-sleeve shirt with solid color patterns. The shirt is with cotton fabric. It has a stand neckline. The guy wears a long trousers. The trousers are with cotton fabric and lattice patterns.,the guy wears a long sleeve shirt with solid color patterns the shirt is with cotton fabric it has a stand neckline the guy wears a long trousers the trousers are with cotton fabric and lattice patterns,the guy wears a long sleeve shirt with solid color patterns the shirt is with cotton fabric it has a stand neckline the guy wears a long trousers the trousers are with cotton fabric and lattice patterns,"a photo of a men denim, the guy wears a long sleeve shirt with solid color patterns the shirt is with cotton fabric it has a stand neckline the guy wears a long trousers the trousers are with cotton fabric and lattice patterns"
37,MEN-Denim-id_00001223-01_4_full,id_00001223,gallery,full,MEN,Denim,MEN_Denim,37,"The shirt this gentleman wears has long sleeves and it is with cotton fabric and pure color patterns. The neckline of the shirt is crew. This gentleman wears a long trousers, with denim fabric and lattice patterns. This man also wears an outer clothing, with cotton fabric and solid color patterns. The person wears a belt.",the shirt this gentleman wears has long sleeves and it is with cotton fabric and pure color patterns the neckline of the shirt is crew this gentleman wears a long trousers with denim fabric and lattice patterns this man also wears an outer clothing with cotton fabric and solid color patterns the person wears a belt,the shirt this gentleman wears has long sleeves and it is with cotton fabric and pure color patterns the neckline of the shirt is crew this gentleman wears a long trousers with denim fabric and lattice patterns this man also wears an outer clothing with cotton fabric and solid color patterns the person wears a belt,"a photo of a men denim, the shirt this gentleman wears has long sleeves and it is with cotton fabric and pure color patterns the neckline of the shirt is crew this gentleman wears a long trousers with denim fabric and lattice patterns this man also wears an outer clothing with cotton fabric and solid color patterns the person wears a belt"
